timestamp,session_id,user_id,product_id,product_name,category,event_type
2025-11-06T15:56:14.592360,S1762424767,U2648,4,Skincare Kit,Beauty,add_to_cart
2025-11-06T19:23:46.189088,S1762437221,U4936,1,Smartphone,Electronics,add_to_cart
2025-11-06T19:23:47.598836,S1762437221,U4936,5,Novel Collection,Books,add_to_cart
2025-11-06T19:23:56.881002,S1762437221,U4936,6,T-Shirt,Clothing,add_to_cart
2025-11-06T19:23:58.541929,S1762437221,U4936,21,Screen Protector,Electronics,add_to_cart
2025-11-06T19:23:59.776562,S1762437221,U4936,13,Jeans,Clothing,add_to_cart
2025-11-06T19:24:13.889485,S1762437251,U6456,1,Smartphone,Electronics,add_to_cart
2025-11-06T19:24:15.489751,S1762437251,U6456,21,Screen Protector,Electronics,add_to_cart
2025-11-06T19:24:21.680801,S1762437251,U6456,23,Sports Socks,Sports,add_to_cart
2025-11-06T19:26:54.922913,S1762437397,U9590,18,Water Bottle,Sports,add_to_cart
2025-11-06T19:27:03.579639,S1762437397,U9590,6,T-Shirt,Clothing,add_to_cart
2025-11-06T19:27:05.773381,S1762437397,U9590,19,Sunglasses,Accessories,add_to_cart
2025-11-06T19:27:32.689713,S1762437447,U1257,25,Face Mask,Beauty,add_to_cart
2025-11-06T19:27:35.003885,S1762437447,U1257,4,Skincare Kit,Beauty,add_to_cart
2025-11-06T19:27:48.606838,S1762437447,U1257,10,Laptop,Electronics,add_to_cart
2025-11-06T19:27:53.119221,S1762437447,U1257,30,Laptop Sleeve,Accessories,add_to_cart
2025-11-06T19:27:55.671796,S1762437447,U1257,22,Wireless Mouse,Electronics,add_to_cart
2025-11-06T19:27:58.272757,S1762437447,U1257,21,Screen Protector,Electronics,add_to_cart
2025-11-06T19:41:17.247294,S1762438272,U9846,10,Laptop,Electronics,add_to_cart
2025-11-06T19:41:18.399048,S1762438272,U9846,11,Wireless Earbuds,Electronics,add_to_cart
2025-11-06T21:32:33.391831,S1762444949,U8144,1,Smartphone,Electronics,add_to_cart
2025-11-06T21:32:41.957104,S1762444949,U8144,21,Screen Protector,Electronics,add_to_cart
2025-11-06T21:32:43.123337,S1762444949,U8144,27,Power Bank,Electronics,add_to_cart
2025-11-06T21:34:40.437987,S1762444949,U8144,2,Car Accessories,Automotive,add_to_cart
2025-11-06T21:34:44.739739,S1762445083,U3762,1,Smartphone,Electronics,add_to_cart
2025-11-06T21:34:46.816803,S1762445083,U3762,8,Running Shoes,Sports,add_to_cart
2025-11-06T21:34:50.716889,S1762445083,U3762,26,Coffee Beans,Groceries,add_to_cart
2025-11-06T21:34:54.990980,S1762445083,U3762,18,Water Bottle,Sports,add_to_cart
2025-11-06T21:39:34.008489,S1762445083,U3762,3,Cookware Set,Home & Kitchen,add_to_cart
2025-11-06T21:39:37.170463,S1762445376,U4610,1,Smartphone,Electronics,add_to_cart
2025-11-06T21:39:41.153148,S1762445376,U4610,4,Skincare Kit,Beauty,add_to_cart
2025-11-06T21:39:44.965172,S1762445376,U4610,7,Action Figure,Toys,add_to_cart
2025-11-06T21:39:46.308832,S1762445376,U4610,9,Organic Snacks,Groceries,add_to_cart
2025-11-06T21:39:50.919909,S1762445376,U4610,10,Laptop,Electronics,add_to_cart
2025-11-06T23:54:04.789209,S1762453441,U7047,1,Smartphone,Electronics,add_to_cart
2025-11-06T23:54:06.430096,S1762453441,U7047,8,Running Shoes,Sports,add_to_cart
2025-11-06T23:54:08.137423,S1762453441,U7047,11,Wireless Earbuds,Electronics,add_to_cart
2025-11-06T23:54:18.952464,S1762453441,U7047,26,Coffee Beans,Groceries,add_to_cart
2025-11-07T00:21:12.023505,S1762455070,U7260,1,Smartphone,Electronics,add_to_cart
2025-11-07T00:21:17.395925,S1762455070,U7260,5,Novel Collection,Books,add_to_cart
2025-11-07T00:21:26.085112,S1762455070,U7260,8,Running Shoes,Sports,add_to_cart
2025-11-07T00:21:30.860412,S1762455070,U7260,2,Car Accessories,Automotive,add_to_cart
2025-11-07T00:21:34.201220,S1762455070,U7260,8,Running Shoes,Sports,add_to_cart
2025-11-07T00:48:11.700524,S1762456682,U7634,5,Novel Collection,Books,add_to_cart
2025-11-07T00:48:18.367404,S1762456682,U7634,15,Backpack,Accessories,add_to_cart
2025-11-07T00:48:26.283215,S1762456682,U7634,2,Car Accessories,Automotive,add_to_cart
2025-11-07T00:48:34.131280,S1762456682,U7634,27,Power Bank,Electronics,add_to_cart
2025-11-07T00:52:48.039865,S1762456723,U8332,19,Sunglasses,Accessories,add_to_cart
2025-11-07T00:52:53.305281,S1762456723,U8332,8,Running Shoes,Sports,add_to_cart
2025-11-07T00:52:58.064628,S1762456723,U8332,23,Sports Socks,Sports,add_to_cart
2025-11-07T00:54:05.122575,S1762456723,U8332,2,Car Accessories,Automotive,add_to_cart
2025-11-07T00:54:32.035941,S1762457064,U1720,18,Water Bottle,Sports,add_to_cart
2025-11-07T00:54:34.909657,S1762457064,U1720,27,Power Bank,Electronics,add_to_cart
2025-11-07T00:54:42.159098,S1762457064,U1720,1,Smartphone,Electronics,add_to_cart
2025-11-07T00:58:36.170951,S1762457309,U9331,4,Skincare Kit,Beauty,add_to_cart
2025-11-07T00:59:25.005494,S1762457309,U9331,5,Novel Collection,Books,add_to_cart
2025-11-07T00:59:29.145469,S1762457309,U9331,19,Sunglasses,Accessories,add_to_cart
2025-11-07T00:59:50.299676,S1762457309,U9331,3,Cookware Set,Home & Kitchen,add_to_cart
2025-11-07T00:59:57.158210,S1762457309,U9331,4,Skincare Kit,Beauty,add_to_cart
2025-11-07T10:33:45.445242,S1762491802,U3657,10,Laptop,Electronics,add_to_cart
2025-11-07T10:36:34.223540,S1762491802,U3657,1,Smartphone,Electronics,add_to_cart
2025-11-07T12:05:53.286434,S1762497341,U3215,2,Car Accessories,Automotive,add_to_cart
2025-11-07T12:05:57.494902,S1762497341,U3215,15,Backpack,Accessories,add_to_cart
2025-11-07T12:06:21.402862,S1762497341,U3215,1,Smartphone,Electronics,add_to_cart
2025-11-07T12:08:48.840839,S1762497519,U8847,2,Car Accessories,Automotive,add_to_cart
2025-11-07T12:08:52.045061,S1762497519,U8847,1,Smartphone,Electronics,add_to_cart
2025-11-07T12:08:56.647446,S1762497519,U8847,27,Power Bank,Electronics,add_to_cart
2025-11-07T12:09:00.288021,S1762497519,U8847,9,Organic Snacks,Groceries,add_to_cart
2025-11-07T12:43:52.703220,S1762499624,U1139,10,Laptop,Electronics,add_to_cart
2025-11-07T12:44:02.556353,S1762499624,U1139,13,Jeans,Clothing,add_to_cart
2025-11-07T12:44:08.457749,S1762499624,U1139,23,Sports Socks,Sports,add_to_cart
2025-11-07T12:44:34.984172,S1762499666,U9702,1,Smartphone,Electronics,add_to_cart
2025-11-07T12:44:36.237898,S1762499666,U9702,2,Car Accessories,Automotive,add_to_cart
2025-11-07T12:44:38.380254,S1762499666,U9702,3,Cookware Set,Home & Kitchen,add_to_cart
2025-11-07T12:44:40.830418,S1762499666,U9702,12,Phone Case,Electronics,add_to_cart
2025-11-07T13:23:50.070534,S1762501986,U5535,1,Smartphone,Electronics,add_to_cart
2025-11-07T14:55:03.678741,S1762504936,U9143,2,Car Accessories,Automotive,add_to_cart
2025-11-07T14:55:06.467090,S1762504936,U9143,5,Novel Collection,Books,add_to_cart
2025-11-30T14:50:11.657681,S1764494402,U1005,2,Car Accessories,Automotive,add_to_cart
2025-11-30T14:50:21.628708,S1764494402,U1005,6,T-Shirt,Clothing,add_to_cart
2025-11-30T14:50:39.748200,S1764494402,U1005,6,T-Shirt,Clothing,add_to_cart
2025-11-30T14:50:52.546609,S1764494402,U1005,18,Water Bottle,Sports,add_to_cart
2025-11-30T15:08:09.286413,S1764495483,U8560,2,Car Accessories,Automotive,add_to_cart
2025-11-30T15:08:20.974135,S1764495483,U8560,14,Coffee Maker,Home & Kitchen,add_to_cart
2025-11-30T15:08:29.272811,S1764495483,U8560,6,T-Shirt,Clothing,add_to_cart
2025-11-30T15:08:37.078305,S1764495483,U8560,9,Organic Snacks,Groceries,add_to_cart
